sub_id,Site
sub-NDARAL897CYV,CUNY
sub-NDARCA146GG1,CUNY
sub-NDAREC777ADZ,CUNY
sub-NDARFV058BWM,CUNY
sub-NDARGJ392ACY,CUNY
sub-NDARGL289TB8,CUNY
sub-NDARNN761ZPA,CUNY
sub-NDARPH105ZFF,CUNY
sub-NDARPH567WUB,CUNY
sub-NDARRV217VTA,CUNY
sub-NDARRW536ZM2,CUNY
sub-NDARXT196WPG,CUNY
sub-NDARZB799GAK,CUNY
sub-NDARZT581RNV,CUNY
sub-NDARAC495TJ2,RU
sub-NDARAE358VBE,RU
sub-NDARAH304ED7,RU
sub-NDARAK738BGC,RU
sub-NDARAP176AD1,RU
sub-NDARAT709MMX,RU
sub-NDARAU708TL8,RU
sub-NDARAV554TP2,RU
sub-NDARBF805EHN,RU
sub-NDARBT607PZL,RU
sub-NDARBV680AA8,RU
sub-NDARBX121UM9,RU
sub-NDARBX974XDR,RU
sub-NDARCB627KDN,RU
sub-NDARCC059WTH,RU
sub-NDARCE353XKH,RU
sub-NDARCJ433TCG,RU
sub-NDARCK481KRH,RU
sub-NDARCK647MU6,RU
sub-NDARCM135DVC,RU
sub-NDARCU621EBN,RU
sub-NDARCV628UUW,RU
sub-NDARCV981XUY,RU
sub-NDARCW946WNE,RU
sub-NDARCY036NTA,RU
sub-NDARCZ947WU5,RU
sub-NDARDA573XGG,RU
sub-NDARDR591AUC,RU
sub-NDARDT528ZZJ,RU
sub-NDARDW711NYZ,RU
sub-NDARDY150ZP9,RU
sub-NDARDZ440NGK,RU
sub-NDAREC486ZPV,RU
sub-NDAREF893ZM8,RU
sub-NDAREG013BLG,RU
sub-NDAREG561ML5,RU
sub-NDAREM731BYM,RU
sub-NDARFA860RPD,RU
sub-NDARFE163HVN,RU
sub-NDARFF644ZGD,RU
sub-NDARFT964EU8,RU
sub-NDARGA048BD8,RU
sub-NDARGA507DCC,RU
sub-NDARGC124PAW,RU
sub-NDARGE536BGD,RU
sub-NDARGH074MU6,RU
sub-NDARGH775KF5,RU
sub-NDARGJ653MG2,RU
sub-NDARGK943RL3,RU
sub-NDARGN044FE4,RU
sub-NDARGR354WBH,RU
sub-NDARGT551AFK,RU
